number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_gru,params_hidden_lstm,params_lr,params_weight_decay,state
26,0.01975441724061966,2026-01-28 09:35:40.633716,2026-01-28 09:35:44.424753,0 days 00:00:03.791037,128,0.12195176706168599,128,256,0.000595836430572143,3.1464643808416405e-05,COMPLETE
27,0.019864719361066818,2026-01-28 09:35:44.426724,2026-01-28 09:35:48.605289,0 days 00:00:04.178565,128,0.15935167884480464,128,256,0.0014199582302190218,4.4554888692408583e-05,COMPLETE
28,0.019520394504070282,2026-01-28 09:35:48.606783,2026-01-28 09:35:52.916065,0 days 00:00:04.309282,128,0.2694052467709316,256,128,0.00227621946557083,0.00011389132539014464,COMPLETE
29,0.020044362172484398,2026-01-28 09:35:52.917723,2026-01-28 09:35:56.726057,0 days 00:00:03.808334,128,0.008374044163631376,128,256,0.0006909128880591707,0.0006013299554846404,COMPLETE
30,0.019406044855713844,2026-01-28 09:35:56.728391,2026-01-28 09:35:59.774483,0 days 00:00:03.046092,128,0.2262179162908195,128,256,0.0010509573652505877,1.4263660907094013e-05,COMPLETE
31,0.019963018596172333,2026-01-28 09:35:59.776044,2026-01-28 09:36:03.197457,0 days 00:00:03.421413,128,0.20103634906031836,128,256,0.0010075098366418354,0.00030655546992454044,COMPLETE
32,0.01950339786708355,2026-01-28 09:36:03.199441,2026-01-28 09:36:07.752313,0 days 00:00:04.552872,128,0.21248214303856305,128,256,0.0009535888292545339,0.00022693612313162142,COMPLETE
33,0.021149860695004463,2026-01-28 09:36:07.754429,2026-01-28 09:36:10.032121,0 days 00:00:02.277692,128,0.0730089479776097,128,256,0.000844783544778731,0.0004097367718120619,PRUNED
34,0.019136473536491394,2026-01-28 09:36:10.033764,2026-01-28 09:36:14.537229,0 days 00:00:04.503465,64,0.11625515932330194,128,256,0.001191879741570583,0.00025271162915690965,COMPLETE
35,0.020468255504965782,2026-01-28 09:36:14.538851,2026-01-28 09:36:17.211161,0 days 00:00:02.672310,64,0.10732813077102568,128,256,0.0013606471590794083,8.382822047106588e-05,PRUNED
36,0.019218197092413902,2026-01-28 09:36:17.212713,2026-01-28 09:36:19.236147,0 days 00:00:02.023434,64,0.07009295433498504,128,128,0.0011719324074665042,0.0004958152788051638,COMPLETE
37,0.01962050423026085,2026-01-28 09:36:19.238227,2026-01-28 09:36:22.914835,0 days 00:00:03.676608,64,0.03802261038425725,256,128,0.0012273435625989979,0.0005171299621487089,COMPLETE
38,0.01965380646288395,2026-01-28 09:36:22.917208,2026-01-28 09:36:25.414294,0 days 00:00:02.497086,64,0.06445309014262464,128,128,0.002078493854289409,0.0007085773851177097,COMPLETE
39,0.02017560601234436,2026-01-28 09:36:25.416192,2026-01-28 09:36:29.094574,0 days 00:00:03.678382,64,0.07183240288899058,256,128,0.0012260639197528382,1.0488101410479342e-05,COMPLETE
40,0.019649673253297806,2026-01-28 09:36:29.096873,2026-01-28 09:36:31.156695,0 days 00:00:02.059822,64,0.024348140680212578,128,128,0.00054871682884251,0.00048758922097766306,COMPLETE
41,0.01932229846715927,2026-01-28 09:36:31.159310,2026-01-28 09:36:33.322577,0 days 00:00:02.163267,64,0.12626060474631703,128,128,0.0011624898510513998,0.00022056813963023926,COMPLETE
42,0.019871480762958527,2026-01-28 09:36:33.324655,2026-01-28 09:36:35.495189,0 days 00:00:02.170534,64,0.11863936440967546,128,128,0.0011444188337105532,0.00024349718815135066,COMPLETE
43,0.019581260159611702,2026-01-28 09:36:35.497083,2026-01-28 09:36:37.422932,0 days 00:00:01.925849,64,0.08356892630683051,128,128,0.0012514643591070623,0.0004268537726654726,COMPLETE
44,0.019967250525951385,2026-01-28 09:36:37.425234,2026-01-28 09:36:39.871878,0 days 00:00:02.446644,64,0.04633944787044934,128,128,0.0013318161908656419,0.0009642850298052102,COMPLETE
45,0.020174000412225723,2026-01-28 09:36:39.873610,2026-01-28 09:36:44.173629,0 days 00:00:04.300019,64,0.13267136746150004,256,128,0.0015052882907471681,2.497206423265256e-05,COMPLETE
46,0.020316600799560547,2026-01-28 09:36:44.175119,2026-01-28 09:36:46.756596,0 days 00:00:02.581477,64,0.08629077458896794,128,128,0.001588521782508922,0.00021135043688280686,COMPLETE
47,0.01963442750275135,2026-01-28 09:36:46.758191,2026-01-28 09:36:51.064070,0 days 00:00:04.305879,64,0.10880894595139494,256,128,0.002597962959087773,0.0007201643702362963,COMPLETE
48,0.019235040992498398,2026-01-28 09:36:51.065795,2026-01-28 09:36:53.135194,0 days 00:00:02.069399,64,0.15109662054966422,128,128,0.0011165135124839706,0.00011619781420486678,COMPLETE
49,0.01949373446404934,2026-01-28 09:36:53.136866,2026-01-28 09:36:55.295716,0 days 00:00:02.158850,64,0.026522466270595207,128,128,0.0010808236929929027,7.13481075197406e-05,COMPLETE
